Afghanistan,416660.0,116143.0
Albania,196832.33333333334,183228.16666666666
Algeria,1781920.75,1819484.25
Andorra,1658.5,1669.75
Angola,196207.0,160179.33333333334
Anguilla,519.7142857142857,544.2857142857143
Antigua and Barbuda,2625.0,2651.0
Argentina,1842911.5,1907112.3333333333
Armenia,189535.33333333334,189546.83333333334
Aruba,3255.1428571428573,3384.8571428571427
Australia,1305357.2857142857,1215600.857142857
Austria,398370.0,361225.0
Azerbaijan,531520.8571428572,494873.85714285716
Bahamas,14840.42857142857,14604.285714285714
Bahrain,32216.14285714286,32778.857142857145
Bangladesh,5248717.833333333,5311689.666666667
Barbados,10635.142857142857,10544.857142857143
Belarus,492921.71428571426,485777.28571428574
Belgium,506614.14285714284,517278.5714285714
Belize,13109.42857142857,13372.57142857143
Benin,200889.57142857142,96182.42857142857
Bermuda,2235.8,2434.2
Bhutan,15334.6,12880.0
Bolivia,484628.2,451021.4
Botswana,80402.0,84133.85714285714
Brazil,1.24110365E7,1.326068E7
British Virgin Islands,794.4285714285714,838.5714285714286
Brunei,19589.428571428572,19182.285714285714
Bulgaria,362551.5714285714,334928.71428571426
Burkina Faso,135084.42857142858,88466.0
Burundi,86461.66666666667,65262.333333333336
Cambodia,285909.6666666667,169703.0
Cameroon,552062.0,412086.3333333333
Canada,1432529.0,1344046.3333333333
Cape Verde,23735.0,25263.6
Cayman Islands,1244.5,1204.8333333333333
Chad,137876.2857142857,42830.28571428572
Chile,753440.5,742406.8333333334
China,5.0401171E7,4.4982879E7
Colombia,1825219.857142857,1945688.7142857143
Comoros,20132.5,15743.166666666666
Congo,115898.5,85719.25
Congo Dem. Rep.,925930.75,512928.5
Cook Islands,919.8333333333334,902.1666666666666
Costa Rica,145419.57142857142,147912.0
Croatia,205937.0,200808.0
Cuba,439833.4285714286,427333.5714285714
Cyprus,32453.571428571428,31486.14285714286
Czech Republic,494630.85714285716,483505.28571428574
Côte d’Ivoire,422427.0,230523.75
Denmark,220514.42857142858,220364.57142857142
Djibouti,13051.57142857143,8496.142857142857
Dominica,3561.5714285714284,3893.8571428571427
Dominican Republic,333345.28571428574,397725.14285714284
Ecuador,482482.0,473604.71428571426
Egypt,4325781.857142857,3856264.0
El Salvador,234598.57142857142,230657.42857142858
Equatorial Guinea,13671.666666666666,6964.333333333333
Eritrea,97381.57142857143,62302.71428571428
Estonia,60973.71428571428,59961.71428571428
Ethiopia,1924705.5714285714,1179037.142857143
Federated States of Micronesia,6914.0,6656.0
Fiji,49076.28571428572,49956.71428571428
Finland,231797.57142857142,241013.2857142857
France,3012334.285714286,2892520.5714285714
Gabon,47258.5,40799.0
Gambia The,37616.833333333336,28167.166666666668
Georgia,208678.0,199795.42857142858
Germany,4317453.571428572,4031292.5714285714
Ghana,634666.0,510348.28571428574
Gibraltar,757.3333333333334,706.3333333333334
Greece,374567.0,355152.0
Grenada,6967.0,7198.5
Guatemala,317832.71428571426,282407.0
Guinea,197553.85714285713,84946.42857142857
Guinea-Bissau,16874.0,9265.5
Guyana,34610.0,34884.166666666664
Honduras,254562.0,305610.5
Hong Kong SAR,251968.4,239417.0
Hungary,508697.0,488843.5714285714
Iceland,16401.428571428572,16521.428571428572
India,4.5433536571428575E7,3.186632114285714E7
Indonesia,7886150.0,7522577.5
Iran,5263262.571428572,4709655.285714285
Iraq,866955.7142857143,535300.8571428572
Ireland,161531.57142857142,166260.85714285713
Israel,306892.5714285714,290008.5714285714
Italy,2323700.3333333335,2173063.5
Jamaica,116386.0,117546.28571428571
Japan,4261497.428571428,4092329.285714286
Jordan,305952.0,298069.3333333333
Kazakhstan,1037495.1428571428,993658.8571428572
Kenya,1098260.3333333333,1047657.5
Kiribati,4947.285714285715,5925.857142857143
Korea Rep,2038003.5714285714,1857867.0
Kuwait,124993.28571428571,123439.85714285714
Kyrgyzstan,348939.28571428574,345168.85714285716
Lao PDR,187136.0,132908.85714285713
Latvia,137665.42857142858,133419.0
Lebanon,172297.0,182778.2857142857
Lesotho,36113.857142857145,46415.142857142855
Liberia,74291.5,50402.0
Libya,377007.6666666667,397681.0
Liechtenstein,1792.0,1472.0
Lithuania,219913.42857142858,209646.0
Luxembourg,16988.428571428572,17157.714285714286
Macau SAR,20345.571428571428,20462.85714285714
Macedonia,113694.42857142857,104870.71428571429
Madagascar,177288.0,169653.0
Malawi,292369.6666666667,224266.0
Malaysia,1136485.0,1202158.3333333333
Maldives,11484.166666666666,12259.166666666666
Mali,210721.6,117934.8
Malta,19586.833333333332,18253.5
Marshall Islands,3062.6,3040.8
Mauritania,44200.28571428572,34457.57142857143
Mauritius,58129.142857142855,55841.57142857143
Mexico,4780627.857142857,4936856.571428572
Monaco,1462.3333333333333,1465.3333333333333
Mongolia,129713.42857142857,149807.57142857142
Montserrat,148.85714285714286,139.85714285714286
Morocco,947367.0,751809.0
Mozambique,109662.83333333333,73561.5
Myanmar,1205917.0,1153837.0
Namibia,65099.0,71628.14285714286
Nauru,306.2,326.0
Nepal,943741.8333333334,669858.0
Netherlands,722622.2857142857,672669.2857142857
Netherlands Antilles,7096.4,7875.0
New Zealand,238216.66666666666,244590.16666666666
Nicaragua,178122.7142857143,201588.57142857142
Niger,78601.0,49585.0
Nigeria,3048462.6666666665,2471026.6666666665
Niue,116.0,121.0
Norway,194206.57142857142,188715.0
Oman,136350.0,128147.28571428571
Pakistan,4034743.2,2754744.4
Palau,1088.5,1075.3333333333333
Panama,121296.42857142857,124796.14285714286
Papua New Guinea,100237.2,68740.4
Paraguay,245836.33333333334,244033.83333333334
